# k h/Mpc P_21,desi mK^2 (h^-1 Mpc )^3, redshift z=85.000000
6.002678894223819998e-03 2.408937950967889265e+03
1.849290779593883161e-02 3.266486759829584571e+03
3.098313669765384235e-02 2.268885062596261832e+03
4.347336559936884615e-02 1.381759818766886156e+03
5.596359450108386036e-02 9.044202129751207622e+02
6.845382340279887456e-02 6.162254210891172761e+02
8.094405230451387490e-02 3.942293683063549565e+02
9.343428120622888911e-02 2.397911913364879410e+02
1.059245101079439033e-01 1.544216823285766509e+02
1.184147390096589175e-01 1.114121376165802673e+02
1.309049679113739317e-01 8.384606159774136813e+01
1.433951968130889321e-01 6.122932306937011049e+01
1.558854257148039324e-01 4.383226188666728973e+01
1.683756546165189605e-01 3.277837829309592621e+01
1.808658835182339608e-01 2.625581607031171316e+01
1.933561124199489889e-01 2.156732353738350838e+01
2.058463413216639892e-01 1.736273904283558878e+01
2.183365702233789896e-01 1.376995550281402636e+01
2.308267991250940177e-01 1.113846876653549955e+01
