# k h/Mpc P_0 mK^2 (h^-1 Mpc )^3, redshift z=0.250000
5.989855398593289977e-03 1.170553060293736678e+02
1.892386503868707243e-02 1.679554486359537577e+02
3.185787467878085227e-02 1.278637873717270281e+02
4.479188431887463906e-02 9.042873248389312835e+01
5.772589395896841891e-02 7.180636215435785630e+01
7.065990359906219875e-02 5.947707231655524396e+01
8.359391323915597860e-02 4.553341959412056639e+01
9.652792287924975845e-02 3.318575457592216793e+01
1.094619325193435383e-01 2.574368757061150603e+01
1.223959421594373181e-01 2.173738887586620905e+01
1.353299517995311119e-01 1.810686795351204381e+01
1.482639614396248917e-01 1.414456213748276880e+01
1.611979710797186716e-01 1.083797144189520800e+01
1.741319807198124514e-01 8.770152675940412479e+00
1.870659903599062313e-01 7.433422002355059455e+00
2.000000000000000111e-01 6.214289564821919853e+00
