# k h/Mpc P_21,desi mK^2 (h^-1 Mpc )^3, redshift z=75.000000
6.277836474993928918e-03 2.343974278153158593e+03
1.941545048634559303e-02 3.102891412037041391e+03
3.255306449769725802e-02 2.128696542145006788e+03
4.569067850904892647e-02 1.329426152005943095e+03
5.882829252040058798e-02 9.127015615454268982e+02
7.196590653175224950e-02 6.353346194973103138e+02
8.510352054310392489e-02 4.038019286200561169e+02
9.824113455445558640e-02 2.487274752706175605e+02
1.113787485658072479e-01 1.675305966538212203e+02
1.245163625771589094e-01 1.239447472946810223e+02
1.376539765885105848e-01 9.113084029054297730e+01
1.507915905998622463e-01 6.444643850129780560e+01
1.639292046112139356e-01 4.639645883531387227e+01
1.770668186225655971e-01 3.600792316777632607e+01
1.902044326339172586e-01 2.926883612106752608e+01
2.033420466452689201e-01 2.348242423937280421e+01
2.164796606566205817e-01 1.845027677593107995e+01
2.296172746679722432e-01 1.472369469898720773e+01
2.427548886793239047e-01 1.222225029311942990e+01
2.558925026906755384e-01 1.038211398147677755e+01
2.690301167020272000e-01 8.749639905749479141e+00
