# k h/Mpc P_0 mK^2 (h^-1 Mpc )^3, redshift z=2.750000
1.855395001398089678e-03 7.434218285838107931e+02
5.933352415840210600e-03 1.454054035775636294e+03
1.001130983028233196e-02 1.236928887503296892e+03
1.408926724472445331e-02 8.048551721569692745e+02
1.816722465916657467e-02 4.927408672016705395e+02
2.224518207360869429e-02 3.105731379881099770e+02
2.632313948805081738e-02 2.038540879854841990e+02
3.040109690249294047e-02 1.381903724140864540e+02
3.447905431693506356e-02 9.640512402160987904e+01
3.855701173137718318e-02 6.926395882824738237e+01
4.263496914581930280e-02 5.134810330086508401e+01
4.671292656026142937e-02 3.927042067910871737e+01
5.079088397470354899e-02 3.098706594213478738e+01
5.486884138914566861e-02 2.508925132359629728e+01
